title,author,rating,isbn,
Shoot the Piano Player,David Goodis,4.02,679732543,
Romeo & Juliet,William Shakespeare,3.74,844257478,
CliffsNotes on Shakespeare's Twelfth Night,James Lamar Roberts-CliffsNotes-William Shakespeare,4.21,822000946,
Twelfth Night or What You Will,William Shakespeare-Elizabeth Story Donno-Penny Gay,3.98,052153514X,
Black Like Me,John Howard Griffin,4.13,451208641,
Men Are Like Waffles  Women Are Like Spaghetti,Bill Farrel-Pam Farrel,3.89,736904867,
As You Like It,William Shakespeare-Arkangel Cast-Victoria Hamilton-Niamh Cusack-Stephen Mangan,3.83,1932219048,
As You Like It,William Shakespeare,3.83,074348486X,
As You Like It,William Shakespeare-Juliet Dusinberre,3.83,1904271227,
As You Like It (No Fear Shakespeare),William Shakespeare-SparkNotes-John Crowther,3.83,1411401042,
War of the Rats,David L. Robbins,4.11,055358135X,
We Were The Rats,Lawson Glassop,3.23,140149244,
Nimitz Class (Admiral Arnold Morgan  #1),Patrick Robinson,3.91,60564423,
Nimitz Class (Admiral Arnold Morgan  #1),Patrick Robinson,3.91,61096849,
Having a Mary Heart in a Martha World: Finding Intimacy with God in the Busyness of Life,Joanna Weaver,4.17,1578562589,
Thirst,Mary Oliver,4.36,807068969,
The Gilded Web (Web  #1),Mary Balogh,3.58,440243068,
Resurrection,Leo Tolstoy-Louise Maude-Aylmer Maude,4.12,735102864,
Cold Mountain,Charles Frazier,3.85,871136791,
Red Road From Stalingrad: Recollections of a Soviet Infantryman,Mansur Abdulin-Artem Drabkin,4.12,184415145X,
The Fall of Berlin 1945,Antony Beevor,4.28,142002801,
Paris: After the Liberation 1944-1949,Antony Beevor-Artemis Cooper,3.82,142437921,
La guerra civil española,Antony Beevor,3.9,8484326659,
Stalingrad,Antony Beevor-Klaus Kochmann,4.3,3442151015,
Demon Angel (The Guardians  #1),Meljean Brook,3.53,425213471,
Lost Japan,Alex Kerr-Bodhi Fishman,3.87,864423705,
Mariel Hemingway's Healthy Living from the Inside Out: Every Woman’s Guide to Real Beauty  Renewed Energy  and a Radiant Life,Mariel Hemingway,3.9,60890398,
Ernest Hemingway on Writing,Ernest Hemingway-Larry W. Phillips-Charles Scribner Jr.,4.05,684854295,
Hemingway vs. Fitzgerald,Scott Donaldson,3.84,1585671266,
The Haj,Leon Uris,4.02,553248642,
Mila 18,Leon Uris,4.29,553241605,
A God in Ruins,Leon Uris,3.24,61097934,
Battle Cry,Leon Uris,4.15,006075186X,
The Angry Hills,Leon Uris,3.66,553277871,
Exodus,Leon Uris,4.34,553258478,
Oh  Play That Thing,Roddy Doyle,3.28,014303605X,
The Van (The Barrytown Trilogy  #3),Roddy Doyle,3.94,140260021,
Fish & Chips (The Barrytown Trilogie  #3),Roddy Doyle-Renate Orth-Guttmann,3.94,3596153026,
The Giggler Treatment,Roddy Doyle-Brian Ajhar,4.17,439993857,
A Star Called Henry,Roddy Doyle,3.83,99284480,
The Van,Roddy Doyle,3.94,043620052X,
Waterstone's Autumn Books Sampler.,Kate Atkinson-Roddy Doyle-Ruth Rendell,0,99482673,
Rover rettet Weihnachten.,Roddy Doyle-Brian Ajhar,4.14,3570127214,
Henry der Held,Roddy Doyle,3.83,3596151465,
The Snapper,Roddy Doyle,3.93,3596153034,
Paddy Clarke Ha Ha Ha,Roddy Doyle,3.75,435124315,
Yeats Is Dead,Roddy Doyle-Frank McCourt-Conor McPherson-Gene Kerrigan-Gina Moxley-Marian Keyes-Pauline McLynn-Tom Humphries-Joseph O'Connor-Anthony Cronin-Owen O'Neill-Hugo Hamilton-Charlie O'Neill-Gerard Stembridge-Donal O'Kelly,3.39,99422344,
The Fantastic Vampire: Studies in the Children of the Night: Selected Essays from the Eighteenth International Conference on the Fantastic in the Arts,James Craig Holte,0,313309337,
A Dracula Handbook,Elizabeth Russell Miller,4.23,1413480942,
Bram Stoker's Dracula (Bloom's Modern Critical Interpretations),Harold Bloom,3.83,791070484,
In Search of Dracula,Raymond T. McNally,3.86,446780693,
Real Estate Loopholes: Secrets of Successful Real Estate Investing,Diane  Kennedy-Garrett Sutton-Robert T. Kiyosaki,4.11,446691356,
Hope is the Thing with Feathers: A Personal Chronicle of Vanished Birds,Christopher Cokinos,4.21,446677493,
Goodbye Forever (Sweet Dreams  #72),Barbara Conklin,3.72,055324356X,
Winter Dreams (Sweet Dreams  #141),Barbara Conklin,3.83,553270621,
First  Last and Always (Sweet Dreams  #96),Barbara Conklin,3.76,553251791,
P.S. I Love You (Sealed with a Kiss #4),Valerie Parv,2.79,373033664,
PS I Love You Baby Collection,Lynda Milligan-Nancy J. Smith,4.33,962247723,
Tales from Margaritaville,Jimmy Buffett,3.9,156026988,
A Pirate Looks at Fifty,Jimmy Buffett-Leona Nevler,3.83,449005860,
The Parrot-Head Companion: An Insider's Guide to Jimmy Buffett,Thomas Ryan,2.83,806520159,
The Dog Who Loved Too Much: Tales  Treatments and the Psychology of Dogs,Nicholas Dodman,4.09,553375261,
The Dogs Who Found Me: What I've Learned From Pets Who Were Left Behind,Ken Foster,4.07,1592287492,
Barack Obama: Working to Make a Difference,Marlene Targ Brill-Lerner Publishing Group,3.96,822560569,
